step,reward,avg_reward,cumulative_reward
1,0,0.0,0
2,1,0.5,1
3,0,0.3333333333333333,1
4,0,0.25,1
5,0,0.2,1
6,2,0.5,3
7,0,0.42857142857142855,3
8,0,0.375,3
9,0,0.3333333333333333,3
10,0,0.3,3
11,0,0.2727272727272727,3
12,0,0.25,3
13,0,0.23076923076923078,3
14,0,0.21428571428571427,3
15,0,0.2,3
16,2,0.3125,5
17,2,0.4117647058823529,7
18,1,0.4444444444444444,8
19,2,0.5263157894736842,10
20,1,0.55,11
21,0,0.5238095238095238,11
22,0,0.5,11
23,0,0.4782608695652174,11
24,0,0.4583333333333333,11
25,0,0.44,11
26,2,0.5,13
27,2,0.5555555555555556,15
28,2,0.6071428571428571,17
29,4,0.7241379310344828,21
30,2,0.7666666666666667,23
31,1,0.7741935483870968,24
32,1,0.78125,25
33,1,0.7878787878787878,26
34,1,0.7941176470588235,27
35,0,0.7714285714285715,27
36,0,0.75,27
37,0,0.7297297297297297,27
38,0,0.7105263157894737,27
39,0,0.6923076923076923,27
40,0,0.675,27
41,4,0.7560975609756098,31
42,0,0.7380952380952381,31
43,0,0.7209302325581395,31
44,0,0.7045454545454546,31
45,2,0.7333333333333333,33
46,2,0.7608695652173914,35
47,1,0.7659574468085106,36
48,2,0.7916666666666666,38
49,2,0.8163265306122449,40
50,2,0.84,42
51,0,0.8235294117647058,42
52,1,0.8269230769230769,43
53,2,0.8490566037735849,45
54,1,0.8518518518518519,46
55,0,0.8363636363636363,46
56,2,0.8571428571428571,48
57,2,0.8771929824561403,50
58,0,0.8620689655172413,50
59,0,0.847457627118644,50
60,2,0.8666666666666667,52
61,2,0.8852459016393442,54
62,0,0.8709677419354839,54
63,0,0.8571428571428571,54
64,0,0.84375,54
65,1,0.8461538461538461,55
66,0,0.8333333333333334,55
67,0,0.8208955223880597,55
68,0,0.8088235294117647,55
69,0,0.7971014492753623,55
70,0,0.7857142857142857,55
71,0,0.7746478873239436,55
72,0,0.7638888888888888,55
73,0,0.7534246575342466,55
74,0,0.7432432432432432,55
75,1,0.7466666666666667,56
76,0,0.7368421052631579,56
77,0,0.7272727272727273,56
78,0,0.717948717948718,56
79,3,0.7468354430379747,59
80,2,0.7625,61
81,0,0.7530864197530864,61
82,1,0.7560975609756098,62
83,0,0.7469879518072289,62
84,2,0.7619047619047619,64
85,2,0.7764705882352941,66
86,0,0.7674418604651163,66
87,2,0.7816091954022989,68
88,0,0.7727272727272727,68
89,2,0.7865168539325843,70
90,1,0.7888888888888889,71
91,1,0.7912087912087912,72
92,0,0.782608695652174,72
93,2,0.7956989247311828,74
94,0,0.7872340425531915,74
95,2,0.8,76
96,0,0.7916666666666666,76
97,2,0.8041237113402062,78
98,0,0.7959183673469388,78
99,0,0.7878787878787878,78
100,0,0.78,78
101,0,0.7722772277227723,78
102,1,0.7745098039215687,79
103,0,0.7669902912621359,79
104,0,0.7596153846153846,79
105,0,0.7523809523809524,79
106,0,0.7452830188679245,79
107,0,0.7383177570093458,79
108,0,0.7314814814814815,79
109,0,0.7247706422018348,79
110,2,0.7363636363636363,81
111,1,0.7387387387387387,82
112,2,0.75,84
113,1,0.7522123893805309,85
114,0,0.7456140350877193,85
115,1,0.7478260869565218,86
116,1,0.75,87
117,0,0.7435897435897436,87
118,0,0.7372881355932204,87
119,2,0.7478991596638656,89
120,0,0.7416666666666667,89
121,2,0.7520661157024794,91
122,4,0.7786885245901639,95
123,3,0.7967479674796748,98
124,2,0.8064516129032258,100
125,0,0.8,100
126,0,0.7936507936507936,100
127,0,0.7874015748031497,100
128,1,0.7890625,101
129,0,0.7829457364341085,101
130,0,0.7769230769230769,101
131,0,0.7709923664122137,101
132,2,0.7803030303030303,103
133,0,0.7744360902255639,103
134,2,0.7835820895522388,105
135,0,0.7777777777777778,105
136,0,0.7720588235294118,105
137,0,0.7664233576642335,105
138,0,0.7608695652173914,105
139,1,0.762589928057554,106
140,1,0.7642857142857142,107
141,1,0.7659574468085106,108
142,1,0.7676056338028169,109
143,1,0.7692307692307693,110
144,0,0.7638888888888888,110
145,0,0.7586206896551724,110
146,0,0.7534246575342466,110
147,1,0.7551020408163265,111
148,2,0.7635135135135135,113
149,0,0.7583892617449665,113
150,2,0.7666666666666667,115
151,0,0.7615894039735099,115
152,0,0.756578947368421,115
153,1,0.7581699346405228,116
154,0,0.7532467532467533,116
155,1,0.7548387096774194,117
156,2,0.7628205128205128,119
157,1,0.7643312101910829,120
158,4,0.7848101265822784,124
159,1,0.7861635220125787,125
160,0,0.78125,125
161,0,0.7763975155279503,125
162,0,0.7716049382716049,125
163,0,0.7668711656441718,125
164,0,0.7621951219512195,125
165,0,0.7575757575757576,125
166,0,0.7530120481927711,125
167,0,0.7485029940119761,125
168,1,0.75,126
169,0,0.7455621301775148,126
170,0,0.7411764705882353,126
171,0,0.7368421052631579,126
172,2,0.7441860465116279,128
173,2,0.7514450867052023,130
174,2,0.7586206896551724,132
175,2,0.7657142857142857,134
176,0,0.7613636363636364,134
177,0,0.7570621468926554,134
178,1,0.7584269662921348,135
179,0,0.7541899441340782,135
180,0,0.75,135
181,1,0.7513812154696132,136
182,0,0.7472527472527473,136
183,1,0.7486338797814208,137
184,2,0.7554347826086957,139
185,1,0.7567567567567568,140
186,1,0.7580645161290323,141
187,2,0.7647058823529411,143
188,1,0.7659574468085106,144
189,1,0.7671957671957672,145
190,4,0.7842105263157895,149
191,0,0.7801047120418848,149
192,0,0.7760416666666666,149
193,1,0.7772020725388601,150
194,0,0.7731958762886598,150
195,2,0.7794871794871795,152
196,0,0.7755102040816326,152
197,1,0.7766497461928934,153
198,0,0.7727272727272727,153
199,0,0.7688442211055276,153
200,0,0.765,153
201,0,0.7611940298507462,153
202,2,0.7673267326732673,155
203,1,0.7684729064039408,156
204,1,0.7696078431372549,157
205,0,0.7658536585365854,157
206,2,0.7718446601941747,159
207,2,0.7777777777777778,161
208,0,0.7740384615384616,161
209,2,0.7799043062200957,163
210,0,0.7761904761904762,163
211,0,0.7725118483412322,163
212,1,0.7735849056603774,164
213,0,0.7699530516431925,164
214,0,0.7663551401869159,164
215,0,0.7627906976744186,164
216,4,0.7777777777777778,168
217,0,0.7741935483870968,168
218,4,0.7889908256880734,172
219,2,0.7945205479452054,174
220,4,0.8090909090909091,178
221,1,0.8099547511312217,179
222,1,0.8108108108108109,180
223,0,0.8071748878923767,180
224,1,0.8080357142857143,181
225,1,0.8088888888888889,182
226,1,0.8097345132743363,183
227,1,0.8105726872246696,184
228,0,0.8070175438596491,184
229,0,0.8034934497816594,184
230,0,0.8,184
231,2,0.8051948051948052,186
232,0,0.8017241379310345,186
233,0,0.7982832618025751,186
234,2,0.8034188034188035,188
235,1,0.8042553191489362,189
236,0,0.8008474576271186,189
237,2,0.8059071729957806,191
238,2,0.8109243697478992,193
239,0,0.8075313807531381,193
240,0,0.8041666666666667,193
241,1,0.8049792531120332,194
242,0,0.8016528925619835,194
243,2,0.8065843621399177,196
244,0,0.8032786885245902,196
245,0,0.8,196
246,0,0.7967479674796748,196
247,1,0.7975708502024291,197
248,1,0.7983870967741935,198
249,2,0.8032128514056225,200
250,1,0.804,201
251,2,0.8087649402390438,203
252,1,0.8095238095238095,204
253,0,0.8063241106719368,204
254,4,0.8188976377952756,208
255,0,0.8156862745098039,208
256,0,0.8125,208
257,2,0.8171206225680934,210
258,0,0.813953488372093,210
259,2,0.8185328185328186,212
260,0,0.8153846153846154,212
261,0,0.8122605363984674,212
262,4,0.8244274809160306,216
263,2,0.8288973384030418,218
264,0,0.8257575757575758,218
265,0,0.8226415094339623,218
266,1,0.8233082706766918,219
267,3,0.8314606741573034,222
268,0,0.8283582089552238,222
269,1,0.828996282527881,223
270,1,0.8296296296296296,224
271,0,0.8265682656826568,224
272,0,0.8235294117647058,224
273,0,0.8205128205128205,224
274,0,0.8175182481751825,224
275,0,0.8145454545454546,224
276,2,0.8188405797101449,226
277,1,0.8194945848375451,227
278,0,0.8165467625899281,227
279,0,0.8136200716845878,227
280,4,0.825,231
281,0,0.8220640569395018,231
282,1,0.8226950354609929,232
283,0,0.8197879858657244,232
284,0,0.8169014084507042,232
285,2,0.8210526315789474,234
286,0,0.8181818181818182,234
287,0,0.8153310104529616,234
288,4,0.8263888888888888,238
289,2,0.8304498269896193,240
290,0,0.8275862068965517,240
291,0,0.8247422680412371,240
292,4,0.8356164383561644,244
293,1,0.8361774744027304,245
294,1,0.8367346938775511,246
295,0,0.8338983050847457,246
296,0,0.831081081081081,246
297,0,0.8282828282828283,246
298,0,0.825503355704698,246
299,4,0.8361204013377926,250
300,1,0.8366666666666667,251
