step,reward,avg_reward,cumulative_reward
1,0,0.0,0
2,1,0.5,1
3,0,0.3333333333333333,1
4,4,1.25,5
5,1,1.2,6
6,0,1.0,6
7,0,0.8571428571428571,6
8,0,0.75,6
9,0,0.6666666666666666,6
10,0,0.6,6
11,2,0.7272727272727273,8
12,0,0.6666666666666666,8
13,2,0.7692307692307693,10
14,0,0.7142857142857143,10
15,0,0.6666666666666666,10
16,0,0.625,10
17,0,0.5882352941176471,10
18,1,0.6111111111111112,11
19,2,0.6842105263157895,13
20,1,0.7,14
21,0,0.6666666666666666,14
22,1,0.6818181818181818,15
23,0,0.6521739130434783,15
24,0,0.625,15
25,0,0.6,15
26,1,0.6153846153846154,16
27,3,0.7037037037037037,19
28,0,0.6785714285714286,19
29,4,0.7931034482758621,23
30,0,0.7666666666666667,23
31,0,0.7419354838709677,23
32,1,0.75,24
33,0,0.7272727272727273,24
34,1,0.7352941176470589,25
35,2,0.7714285714285715,27
36,1,0.7777777777777778,28
37,0,0.7567567567567568,28
38,1,0.7631578947368421,29
39,0,0.7435897435897436,29
40,0,0.725,29
41,0,0.7073170731707317,29
42,0,0.6904761904761905,29
43,0,0.6744186046511628,29
44,0,0.6590909090909091,29
45,0,0.6444444444444445,29
46,0,0.6304347826086957,29
47,1,0.6382978723404256,30
48,0,0.625,30
49,0,0.6122448979591837,30
50,0,0.6,30
51,2,0.6274509803921569,32
52,2,0.6538461538461539,34
53,2,0.6792452830188679,36
54,0,0.6666666666666666,36
55,0,0.6545454545454545,36
56,1,0.6607142857142857,37
57,0,0.6491228070175439,37
58,0,0.6379310344827587,37
59,1,0.6440677966101694,38
60,0,0.6333333333333333,38
61,2,0.6557377049180327,40
62,2,0.6774193548387096,42
63,1,0.6825396825396826,43
64,1,0.6875,44
65,2,0.7076923076923077,46
66,1,0.7121212121212122,47
67,1,0.7164179104477612,48
68,2,0.7352941176470589,50
69,1,0.7391304347826086,51
70,0,0.7285714285714285,51
71,1,0.7323943661971831,52
72,0,0.7222222222222222,52
73,1,0.726027397260274,53
74,1,0.7297297297297297,54
75,1,0.7333333333333333,55
76,0,0.7236842105263158,55
77,0,0.7142857142857143,55
78,0,0.7051282051282052,55
79,0,0.6962025316455697,55
80,2,0.7125,57
81,1,0.7160493827160493,58
82,1,0.7195121951219512,59
83,0,0.7108433734939759,59
84,2,0.7261904761904762,61
85,2,0.7411764705882353,63
86,0,0.7325581395348837,63
87,2,0.7471264367816092,65
88,0,0.7386363636363636,65
89,0,0.7303370786516854,65
90,3,0.7555555555555555,68
91,0,0.7472527472527473,68
92,0,0.7391304347826086,68
93,0,0.7311827956989247,68
94,0,0.723404255319149,68
95,0,0.7157894736842105,68
96,0,0.7083333333333334,68
97,2,0.7216494845360825,70
98,0,0.7142857142857143,70
99,1,0.7171717171717171,71
100,1,0.72,72
101,0,0.7128712871287128,72
102,1,0.7156862745098039,73
103,1,0.7184466019417476,74
104,1,0.7211538461538461,75
105,2,0.7333333333333333,77
106,0,0.7264150943396226,77
107,1,0.7289719626168224,78
108,1,0.7314814814814815,79
109,0,0.7247706422018348,79
110,0,0.7181818181818181,79
111,2,0.7297297297297297,81
112,0,0.7232142857142857,81
113,1,0.7256637168141593,82
114,1,0.7280701754385965,83
115,2,0.7391304347826086,85
116,0,0.7327586206896551,85
117,0,0.7264957264957265,85
118,1,0.7288135593220338,86
119,0,0.7226890756302521,86
120,4,0.75,90
121,0,0.743801652892562,90
122,0,0.7377049180327869,90
123,0,0.7317073170731707,90
124,1,0.7338709677419355,91
125,1,0.736,92
126,2,0.746031746031746,94
127,1,0.7480314960629921,95
128,2,0.7578125,97
129,1,0.7596899224806202,98
130,0,0.7538461538461538,98
131,0,0.7480916030534351,98
132,0,0.7424242424242424,98
133,0,0.7368421052631579,98
134,2,0.746268656716418,100
135,0,0.7407407407407407,100
136,1,0.7426470588235294,101
137,0,0.7372262773722628,101
138,0,0.7318840579710145,101
139,0,0.7266187050359713,101
140,2,0.7357142857142858,103
141,0,0.7304964539007093,103
142,0,0.7253521126760564,103
143,3,0.7412587412587412,106
144,0,0.7361111111111112,106
145,0,0.7310344827586207,106
146,3,0.7465753424657534,109
147,1,0.7482993197278912,110
148,0,0.7432432432432432,110
149,0,0.738255033557047,110
150,0,0.7333333333333333,110
151,0,0.7284768211920529,110
152,0,0.7236842105263158,110
153,2,0.7320261437908496,112
154,1,0.7337662337662337,113
155,0,0.7290322580645161,113
156,0,0.7243589743589743,113
157,1,0.7261146496815286,114
158,1,0.7278481012658228,115
159,0,0.7232704402515723,115
160,1,0.725,116
161,1,0.7267080745341615,117
162,4,0.7469135802469136,121
163,0,0.7423312883435583,121
164,0,0.7378048780487805,121
165,2,0.7454545454545455,123
166,2,0.7530120481927711,125
167,0,0.7485029940119761,125
168,1,0.75,126
169,1,0.7514792899408284,127
170,2,0.7588235294117647,129
171,2,0.7660818713450293,131
172,0,0.7616279069767442,131
173,0,0.7572254335260116,131
174,1,0.7586206896551724,132
175,1,0.76,133
176,1,0.7613636363636364,134
177,1,0.7627118644067796,135
178,0,0.7584269662921348,135
179,0,0.7541899441340782,135
180,1,0.7555555555555555,136
181,1,0.7569060773480663,137
182,1,0.7582417582417582,138
183,0,0.7540983606557377,138
184,0,0.75,138
185,2,0.7567567567567568,140
186,0,0.7526881720430108,140
187,2,0.7593582887700535,142
188,0,0.7553191489361702,142
189,2,0.7619047619047619,144
190,2,0.7684210526315789,146
191,1,0.7696335078534031,147
192,2,0.7760416666666666,149
193,0,0.772020725388601,149
194,0,0.7680412371134021,149
195,0,0.764102564102564,149
196,0,0.7602040816326531,149
197,3,0.7715736040609137,152
198,2,0.7777777777777778,154
199,0,0.7738693467336684,154
200,2,0.78,156
201,0,0.7761194029850746,156
202,0,0.7722772277227723,156
203,0,0.7684729064039408,156
204,2,0.7745098039215687,158
205,1,0.775609756097561,159
206,0,0.7718446601941747,159
207,0,0.7681159420289855,159
208,1,0.7692307692307693,160
209,0,0.7655502392344498,160
210,0,0.7619047619047619,160
211,0,0.7582938388625592,160
212,0,0.7547169811320755,160
213,0,0.7511737089201878,160
214,0,0.7476635514018691,160
215,1,0.7488372093023256,161
216,0,0.7453703703703703,161
217,3,0.7557603686635944,164
218,4,0.7706422018348624,168
219,2,0.776255707762557,170
220,4,0.7909090909090909,174
221,2,0.7963800904977375,176
222,0,0.7927927927927928,176
223,1,0.7937219730941704,177
224,0,0.7901785714285714,177
225,1,0.7911111111111111,178
226,4,0.8053097345132744,182
227,0,0.801762114537445,182
228,1,0.8026315789473685,183
229,0,0.7991266375545851,183
230,0,0.7956521739130434,183
231,0,0.7922077922077922,183
232,0,0.7887931034482759,183
233,0,0.7854077253218884,183
234,1,0.7863247863247863,184
235,2,0.7914893617021277,186
236,0,0.788135593220339,186
237,0,0.7848101265822784,186
238,1,0.7857142857142857,187
239,2,0.7907949790794979,189
240,0,0.7875,189
241,0,0.7842323651452282,189
242,0,0.78099173553719,189
243,1,0.7818930041152263,190
244,2,0.7868852459016393,192
245,0,0.7836734693877551,192
246,3,0.7926829268292683,195
247,0,0.7894736842105263,195
248,0,0.7862903225806451,195
249,0,0.7831325301204819,195
250,2,0.788,197
251,2,0.7928286852589641,199
252,2,0.7976190476190477,201
253,0,0.7944664031620553,201
254,0,0.7913385826771654,201
255,0,0.788235294117647,201
256,2,0.79296875,203
257,4,0.8054474708171206,207
258,0,0.8023255813953488,207
259,0,0.7992277992277992,207
260,0,0.7961538461538461,207
261,0,0.7931034482758621,207
262,0,0.7900763358778626,207
263,2,0.7946768060836502,209
264,0,0.7916666666666666,209
265,0,0.7886792452830189,209
266,0,0.7857142857142857,209
267,0,0.7827715355805244,209
268,0,0.7798507462686567,209
269,0,0.7769516728624535,209
270,3,0.7851851851851852,212
271,0,0.7822878228782287,212
272,0,0.7794117647058824,212
273,0,0.7765567765567766,212
274,0,0.7737226277372263,212
275,0,0.7709090909090909,212
276,1,0.7717391304347826,213
277,2,0.776173285198556,215
278,1,0.7769784172661871,216
279,1,0.7777777777777778,217
280,3,0.7857142857142857,220
281,0,0.7829181494661922,220
282,1,0.7836879432624113,221
283,1,0.784452296819788,222
284,1,0.7852112676056338,223
285,0,0.7824561403508772,223
286,1,0.7832167832167832,224
287,1,0.7839721254355401,225
288,1,0.7847222222222222,226
289,0,0.7820069204152249,226
290,0,0.7793103448275862,226
291,0,0.7766323024054983,226
292,0,0.773972602739726,226
293,0,0.7713310580204779,226
294,2,0.7755102040816326,228
295,1,0.7762711864406779,229
296,0,0.7736486486486487,229
297,0,0.7710437710437711,229
298,2,0.7751677852348994,231
299,2,0.7792642140468228,233
300,2,0.7833333333333333,235
301,0,0.7807308970099668,235
302,0,0.7781456953642384,235
303,0,0.7755775577557755,235
304,0,0.7730263157894737,235
305,2,0.7770491803278688,237
306,0,0.7745098039215687,237
307,1,0.7752442996742671,238
308,2,0.7792207792207793,240
309,0,0.7766990291262136,240
310,0,0.7741935483870968,240
311,1,0.77491961414791,241
312,2,0.7788461538461539,243
313,0,0.7763578274760383,243
314,0,0.7738853503184714,243
315,0,0.7714285714285715,243
316,1,0.7721518987341772,244
317,0,0.7697160883280757,244
318,2,0.7735849056603774,246
319,0,0.7711598746081505,246
320,0,0.76875,246
321,4,0.778816199376947,250
322,0,0.7763975155279503,250
323,1,0.7770897832817337,251
324,0,0.7746913580246914,251
325,0,0.7723076923076924,251
326,0,0.7699386503067485,251
327,0,0.7675840978593272,251
328,3,0.774390243902439,254
329,0,0.7720364741641338,254
330,0,0.7696969696969697,254
331,2,0.7734138972809668,256
332,2,0.7771084337349398,258
333,0,0.7747747747747747,258
334,0,0.7724550898203593,258
335,0,0.7701492537313432,258
336,2,0.7738095238095238,260
337,0,0.771513353115727,260
338,2,0.7751479289940828,262
339,3,0.7817109144542773,265
340,1,0.7823529411764706,266
341,0,0.7800586510263929,266
342,0,0.7777777777777778,266
343,1,0.7784256559766763,267
344,0,0.7761627906976745,267
345,1,0.7768115942028986,268
346,2,0.7803468208092486,270
347,0,0.7780979827089337,270
348,0,0.7758620689655172,270
349,1,0.7765042979942693,271
350,0,0.7742857142857142,271
351,0,0.7720797720797721,271
352,2,0.7755681818181818,273
353,0,0.773371104815864,273
354,0,0.7711864406779662,273
355,2,0.7746478873239436,275
356,0,0.7724719101123596,275
357,0,0.7703081232492998,275
358,1,0.770949720670391,276
359,0,0.7688022284122563,276
360,2,0.7722222222222223,278
361,0,0.7700831024930748,278
362,2,0.7734806629834254,280
363,4,0.7823691460055097,284
364,2,0.7857142857142857,286
365,1,0.7863013698630137,287
366,2,0.7896174863387978,289
367,4,0.7983651226158038,293
368,0,0.7961956521739131,293
369,0,0.7940379403794038,293
370,0,0.7918918918918919,293
371,0,0.7897574123989218,293
372,0,0.7876344086021505,293
373,4,0.7962466487935657,297
374,1,0.7967914438502673,298
375,0,0.7946666666666666,298
376,0,0.7925531914893617,298
377,0,0.7904509283819628,298
378,4,0.798941798941799,302
379,2,0.8021108179419525,304
380,0,0.8,304
381,1,0.800524934383202,305
382,3,0.806282722513089,308
383,0,0.804177545691906,308
384,0,0.8020833333333334,308
385,4,0.8103896103896104,312
386,1,0.810880829015544,313
387,2,0.813953488372093,315
388,0,0.8118556701030928,315
389,0,0.8097686375321337,315
390,0,0.8076923076923077,315
391,2,0.8107416879795396,317
392,1,0.8112244897959183,318
393,0,0.8091603053435115,318
394,0,0.8071065989847716,318
395,3,0.8126582278481013,321
396,0,0.8106060606060606,321
397,0,0.8085642317380353,321
398,4,0.8165829145728644,325
